tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,tweet_id_float
2122499,123535,True,Wed Nov 08 10:55:21 +0000 2017,@AppleSupport Hi. I’ve an ancient Ipad2 running IOS 9.3.5 It’s woefully out of date and getting slower (can’t handle the rich web content these days)😕 Any way i can at least update the IOS please?,2122497,,2122499.0
2261512,658443,True,Sat Nov 11 00:51:56 +0000 2017,@AppleSupport come on already with this  I️ problem guys. Seems like this should be fixed already.,2261511,,2261512.0
2939305,812398,True,Wed Nov 29 04:16:37 +0000 2017,"And while I am on a dexamethasone induced rant series (ITP strikes again) , please @115858 get your iOS shit together :GPS not working anymore, @115948 app is a disaster , and I have to reset my iPhone every other day.",2939304,,2939305.0
1973346,584425,True,Wed Nov 01 03:29:51 +0000 2017,"I’m sick of your shit, @115858. I️ I️ I️ I️ I️",1973345,,1973346.0
950975,345574,True,Sat Oct 21 17:58:09 +0000 2017,Weird screen glitches with ios11 @115858 @AppleSupport https://t.co/hmvxuJv6N2,950973,,950975.0
2205737,572019,True,Thu Nov 09 20:28:51 +0000 2017,Fix your fucking bullshit. @115858 @AppleSupport I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️,2205736,,2205737.0
1901048,136267,True,Tue Oct 24 01:14:39 +0000 2017,@AppleSupport many problems with text messaging since installing the update,1901047,,1901048.0
1711287,518395,True,Tue Nov 07 01:11:52 +0000 2017,@AppleSupport can y’all explain what’s going on https://t.co/ivpBZhOWif,1711286,,1711287.0
2270036,660543,True,Sun Nov 26 13:34:29 +0000 2017,@AppleSupport @115948 @115858 does my 9.99 monthly Apple subscription Llow access to the movies too?,2270035,,2270036.0
2083315,616135,True,Tue Oct 10 21:13:32 +0000 2017,@AppleSupport My iphone 6s’ battery dies sooner than before &amp; it hangs &amp;apps crash after I updated to ios11. Updated to ios 11.2. No relief😔,2083314,,2083315.0
1849539,455199,True,Wed Oct 18 20:47:30 +0000 2017,"My awesome @115858 phone just decided to delete about a quarter of my contacts while sitting idle, charging. Nice #iPhone",1849538,,1849539.0
2640983,261185,True,Fri Nov 17 21:17:56 +0000 2017,@AppleSupport iOS 11.1.2 https://t.co/Z9OU3Qn8bx,2640982,,2640983.0
2447518,701324,True,Wed Nov 15 01:54:58 +0000 2017,"Tengo un iPhone 8 en el cual no puedo usar mi suscripción a Apple Music sólo por comprar una iTunes card en otro país.
Gracias, @115858 @115948. 🙂",2447517,,2447518.0
2870742,797130,True,Tue Nov 28 02:32:01 +0000 2017,@115858 i need supports help please,2870741,,2870742.0
1424751,451006,True,Sat Oct 28 19:46:51 +0000 2017,@AppleSupport I’m having trouble updating my payment method. It keeps saying my payment was declined. Please help,"1424750,1424752",,1424751.0
480558,229203,True,Fri Dec 01 04:57:28 +0000 2017,@115948 @115858 WHY DID YOU YOU RANDOMLY DELETE MY FUCKING SONGS. FUCK YOU IM GOING TO SPOTIFY.,480557,,480558.0
1726606,522189,True,Tue Nov 07 03:26:51 +0000 2017,"Honestly it's 2017 AND I didn't pay $998 for my phone to replace ""I"" with ""!"" and ""?""... get it together @115858 or get OUT!!!!!!!!",1726605,,1726606.0
2066218,248284,True,Sun Oct 08 01:34:19 +0000 2017,@AppleSupport @115858 the newest update has only caused more bugs instead of fixing them. Help,2066217,,2066218.0
1145146,389513,True,Tue Oct 24 10:00:43 +0000 2017,"Querida @115858 meu telefone é muito novo para esses bugs que começaram depois da atualização, arruma isso :*",1145145,,1145146.0
1771200,532420,True,Wed Nov 08 00:43:44 +0000 2017,this stupid I️ thing is really annoying ! @115858,1771199,,1771200.0
372887,204363,True,Sun Oct 08 23:03:50 +0000 2017,@AppleSupport when I updated my #iPhone7 to #iOS11 CarPlay glitches.,372886,,372887.0
2955492,815855,True,Wed Nov 29 18:45:47 +0000 2017,"@AppleSupport I blocked my Apple ID by accident . Now i have to wait for 3 days. Are that workingdays? Or is weekend included? My iPhone is stolen. I have a new one now, but cant use my ID. So no apps.",2955490,,2955492.0
1907553,568348,True,Wed Oct 18 09:16:56 +0000 2017,"@AppleSupport I’m unable to install the new IOS update, an error has occured installing ios 11.0.3, on my IPhone 6",1907552,,1907553.0
124412,143864,True,Fri Nov 24 01:40:23 +0000 2017,"@AppleSupport I’ve been having problems with my SE since last month with 10.3.3. It uses a lot of RAM when connected to Wi-Fi and sometimes with LTE data. I go to Calendar and it says NO EVENTS for 1 second, and in the Music app I get lag when I first enter and slide down or up.","124411,124413",,124412.0
1670039,508430,True,Tue Oct 17 15:23:31 +0000 2017,@AppleSupport My Do Not Disturb keeps switching on repeatedly. Even if it’s just sitting at my desk. New bug? #apple,1670038,,1670039.0
1924282,572776,True,Fri Oct 27 05:23:23 +0000 2017,Frustrated with iPhone bugs @115858 @116333 https://t.co/f2jq7yoMQb,1924281,,1924282.0
2398158,690179,True,Tue Nov 14 04:26:05 +0000 2017,Y’all really gotta fix these notifications @AppleSupport,"2398159,2398157",,2398158.0
1782391,535508,True,Tue Oct 10 23:31:40 +0000 2017,@115858 iOS 11 is the buggiest iOS ever. Even your own apps freeze daily. iPad Pro 10.5 installed after complete wipe.,1782390,,1782391.0
2112784,623031,True,Wed Nov 08 14:35:05 +0000 2017,"Hey @115858, when’s that update?  I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️",2112782,,2112784.0
539968,245235,True,Sat Dec 02 05:23:40 +0000 2017,@AppleSupport and also the clock app wont open and the battery is draining drastically. Please help,539966,,539968.0
2077866,614536,True,Mon Oct 09 09:37:10 +0000 2017,@AppleSupport why is it every time there is a new iPhone launching that mine starts playing up ?? Telling me I have 40% battery the  dies,2077865,,2077866.0
2013938,595503,True,Sun Nov 05 15:17:56 +0000 2017,How do I️ fix this? @AppleSupport https://t.co/YRhL0AsHjc,"2013939,2013937",,2013938.0
1858628,555739,True,Thu Oct 19 14:05:31 +0000 2017,@AppleSupport what is “other”? Why is my system taking up 13.5 gigs of space?????? https://t.co/qP0NvcfUJ6,1858627,,1858628.0
